Name	Projection	Average	      Percent
Bojan Bogdanovic Uta - SF,PF	$4	$4.20	100%
Player NoteRicky Rubio Min - PG  7:00 pm @Por	$7	$4.00	100%
Player NoteJames Wiseman GS - C	$0	$4.00	100%
New Player NoteLaMelo Ball Cha - PG,SG	$0	$3.90	100%
New Player NoteDuncan Robinson Mia - SG,SF	$5	$3.80	100%
Player NoteBrandon Clarke Mem - SF,PF  5:00 pm vs Cle	$4	$3.60	100%
New Player NoteBogdan Bogdanovic Atl - SG,SF,PF	$4	$3.60	100%
Player NoteCaris LeVert Bkn - SG,SF  4:30 pm vs Phi	$8	$3.60	100%
New Player NoteDeMarcus Cousins Hou - PF,C	$0	$3.60	98%
New Player NoteMarkelle Fultz Orl - PG,SG  INJ	$1	$3.50	100%
New Player NoteOtto Porter Jr. Chi - SF,PF	$10	$3.50	100%
New Player NoteJerami Grant Det - SF,PF	$0	$3.40	100%
Player NoteDerrick White SA - PG,SG  INJ7:00 pm @LAL	$5	$3.30	100%
New Player NoteDarius Bazley OKC - SF,PF	$0	$3.30	51%
New Player NoteMarvin Bagley III Sac - PF,C	$6	$3.20	100%
Player NoteJarrett Allen Bkn - C  4:30 pm vs Phi	$6	$3.20	100%
New Player NoteSerge Ibaka LAC - PF,C	$5	$3.10	100%
Player NoteMaxi Kleber Dal - PF,C  7:00 pm @Den	$0	$3.10	25%
New Player NoteMarcus Morris Sr. LAC - PF,C	$0	$3.10	13%
Player NoteJosh Richardson Dal - SG,SF  7:00 pm @Den	$6	$2.90	100%
New Player NoteEvan Fournier Orl - SG,SF  INJ	$3	$2.50	100%
New Player NoteNerlens Noel NY - PF,C  GTD	$0	$2.40	96%
New Player NoteRJ Barrett NY - SG,SF	$2	$2.30	100%
Player NoteTerry Rozier Cha - PG	$6	$2.30	98%
New Player NoteLuguentz Dort OKC - SG,SF	$0	$2.30	5%
Player NoteDennis Schroder LAL - PG  7:00 pm vs SA	$1	$2.20	100%
No new player NotesP.J. Tucker Hou - PF,C	$0	$2.20	21%
Player NoteKyle Anderson Mem - SF,PF  5:00 pm vs Cle	$0	$2.20	6%
New Player NoteSeth Curry Phi - PG,SG  GTD4:30 pm @Bkn	$0	$2.10	98%
Player NoteAlex Caruso LAL - PG,SG  7:00 pm vs SA	$0	$2.10	3%
New Player NotePJ Washington Cha - SF,PF	$3	$2.00	100%
New Player NoteChris Boucher Tor - PF,C	$0	$2.00	95%
New Player NoteJustise Winslow Mem - PF  INJ5:00 pm vs Cle	$3	$2.00	7%
Player NoteDerrick Favors Uta - PF,C	$7	$2.00	48%
Player NoteNorman Powell Tor - SG,SF	$3	$1.90	100%
New Player NoteMason Plumlee Det - PF,C	$0	$1.90	16%
New Player NoteGoran Dragic Mia - PG,SG	$2	$1.80	99%
Player NoteLou Williams LAC - PG,SG	$2	$1.80	99%
Player NoteAlec Burks NY - SG,SF  INJ	$0	$1.80	13%
Player NoteDonte DiVincenzo Mil - PG,SG	$1	$1.70	99%
New Player NoteElfrid Payton NY - PG	$0	$1.70	90%
Player NoteCarmelo Anthony Por - SF,PF  7:00 pm vs Min	$0	$1.70	35%
Player NoteLarry Nance Jr. Cle - PF,C  5:00 pm @Mem	$5	$1.60	97%
Player NoteKillian Hayes Det - PG,SG  INJ	$0	$1.60	90%
Player NoteRui Hachimura Was - SF,PF	$3	$1.60	95%
New Player NoteDarius Garland Cle - PG  INJ5:00 pm @Mem	$0	$1.60	75%
New Player NoteObi Toppin NY - SF,PF  INJ	$0	$1.60	83%
Player NoteIvica Zubac LAC - C	$0	$1.60	43%
Player NoteSpencer Dinwiddie Bkn - PG,SG  INJ4:30 pm vs Phi	$3	$1.60	69%
New Player NoteCameron Johnson Pho - SF,PF	$0	$1.60	3%
Kyle Kuzma LAL - SF,PF  7:00 pm vs SA	$2	$1.60	46%
Player NoteRajon Rondo Atl - PG  INJ	$0	$1.60	5%
New Player NoteDerrick Rose Det - PG,SG  GTD	$1	$1.50	99%
Player NoteJoe Harris Bkn - SG,SF  4:30 pm vs Phi	$4	$1.50	94%
Player NoteDe'Andre Hunter Atl - SF,PF	$5	$1.50	48%
Player NoteDe'Anthony Melton Mem - PG,SG  5:00 pm vs Cle	$1	$1.50	6%
Player NoteAron Baynes Tor - C	$0	$1.50	34%
Player NoteDillon Brooks Mem - SG,SF  5:00 pm vs Cle	$0	$1.50	30%
New Player NoteJJ Redick NO - SG  GTD	$0	$1.50	23%
New Player NoteJosh Jackson Det - SG,SF  O	$0	$1.50	2%
New Player NoteKentavious Caldwell-Pope LAL - PG,SG  GTD7:00 pm vs SA	$0	$1.50	5%
No new player NotesTalen Horton-Tucker LAL - SG,SF  7:00 pm vs SA	$0	$1.50	10%
No new player NotesBol Bol Den - PF,C  7:00 pm vs Dal	$0	$1.50	4%
Player NoteDeAndre Jordan Bkn - C  4:30 pm vs Phi	$1	$1.40	98%
Player NoteAnthony Edwards Min - SG  7:00 pm @Por	$0	$1.40	89%
Player NoteTim Hardaway Jr. Dal - SG,SF  7:00 pm @Den	$1	$1.40	81%
Player NoteMarc Gasol LAL - C  7:00 pm vs SA	$3	$1.40	57%
Player NoteHarrison Barnes Sac - SF,PF	$1	$1.40	33%
No new player NotesDwight Powell Dal - PF,C  7:00 pm @Den	$0	$1.40	5%
New Player NoteShake Milton Phi - PG,SG  4:30 pm @Bkn	$0	$1.40	15%
Player NoteMatisse Thybulle Phi - SG,SF  4:30 pm @Bkn	$0	$1.40	13%
Player NoteDaniel Theis Bos - C	$1	$1.30	97%
Player NoteWill Barton Den - SG,SF  7:00 pm vs Dal	$3	$1.30	95%
New Player NoteJeff Teague Bos - PG,SG  GTD	$3	$1.30	93%
New Player NoteCam Reddish Atl - SF,PF	$4	$1.30	93%
New Player NoteDelon Wright Det - SG,SF	$1	$1.30	88%
Player NoteMiles Bridges Cha - SF,PF	$5	$1.30	90%
New Player NoteJoe Ingles Uta - SG,SF	$4	$1.30	84%
Player NoteMalik Beasley Min - PG,SG  7:00 pm @Por	$3	$1.30	81%
Player NoteGary Harris Den - SG,SF  7:00 pm vs Dal	$0	$1.30	7%
No new player NotesJeremy Lamb Ind - SG,SF  INJ	$1	$1.30	4%
Player NoteZach Collins Por - PF,C  INJ7:00 pm vs Min	$1	$1.30	5%
New Player NoteEric Gordon Hou - SG,SF	$0	$1.30	21%
New Player NoteTristan Thompson Bos - PF,C	$0	$1.30	28%
Player NoteGary Trent Jr. Por - SG,SF  7:00 pm vs Min	$0	$1.30	7%
Player NoteDwight Howard Phi - C  4:30 pm @Bkn	$0	$1.30	12%
New Player NoteBobby Portis Mil - PF,C	$0	$1.30	3%
Player NoteDeni Avdija Was - SG,SF	$0	$1.30	19%
New Player NotePatrick Williams Chi - SF	$0	$1.30	9%
New Player NoteKevin Huerter Atl - SG,SF	$5	$1.20	91%
Player NoteTerrence Ross Orl - SG,SF	$0	$1.20	66%
New Player NoteTyrese Haliburton Sac - PG,SG	$0	$1.20	58%
Player NoteJaxson Hayes NO - C	$1	$1.20	6%
New Player NoteIsaac Okoro Cle - SF  5:00 pm @Mem	$0	$1.20	11%
New Player NoteJordan Clarkson Uta - PG,SG	$0	$1.20	25%
Player NoteSekou Doumbouya Det - SF,PF	$0	$1.20	4%
Player NoteEnes Kanter Por - C  7:00 pm vs Min	$0	$1.20	5%
Player NoteJosh Hart NO - SG,SF	$0	$1.20	6%
Player NotePaul Millsap Den - PF,C  7:00 pm vs Dal	$1	$1.10	86%
Player NoteMarquese Chriss GS - PF,C  INJ	$4	$1.10	64%
Kevin Porter Jr. Cle - SG,SF  INJ5:00 pm @Mem	$2	$1.10	48%
New Player NoteJae Crowder Pho - SF,PF	$0	$1.10	49%
Player NoteLuke Kennard LAC - SG,SF	$1	$1.10	23%
Player NoteTroy Brown Jr. Was - SG,SF	$0	$1.10	4%
Player NoteDerrick Jones Jr. Por - SG,SF  7:00 pm vs Min	$0	$1.10	6%
Player NoteRobert Williams Bos - C	$1	$1.10	7%
Player NoteDario Saric Pho - PF,C	$0	$1.10	5%
Player NoteTomas Satoransky Chi - PG,SG  INJ	$1	$1.10	5%
Player NoteJustin Holiday Ind - SG,SF	$0	$1.10	3%
Player NoteKendrick Nunn Mia - PG,SG	$0	$1.10	6%
Player NoteLonnie Walker IV SA - SG,SF  7:00 pm @LAL	$0	$1.10	2%
No new player NotesCody Zeller Cha - C  INJ	$0	$1.10	3%
New Player NoteNicolas Batum LAC - SF,PF	$0	$1.10	1%
Player NoteJaVale McGee Cle - C  5:00 pm @Mem	$0	$1.10	3%
Player NoteRudy Gay SA - SF,PF  7:00 pm @LAL	$0	$1.10	3%
Player NoteNemanja Bjelica Sac - PF	$0	$1.10	3%
New Player NoteCole Anthony Orl - PG	$0	$1.10	4%
Player NoteJakob Poeltl SA - C  7:00 pm @LAL	$0	$1.00	64%
Player NoteDanuel House Jr. Hou - SF,PF  GTD	$0	$1.00	6%
New Player NoteCedi Osman Cle - SF,PF  5:00 pm @Mem	$0	$1.00	1%
Player NoteEric Paschall GS - SF,PF	$0	$1.00	2%
No new player NotesDewayne Dedmon Det - C  NA	$1	$-	0%
Player NoteThaddeus Young Chi - PF	$0	$-	0%
New Player NoteMoe Harkless Mia - SF,PF  GTD	$0	$-	0%
Player NoteJarrett Culver Min - PG,SG  7:00 pm @Por	$0	$-	0%
Player NoteKevon Looney GS - PF,C	$0	$-	0%
Player NoteSvi Mykhailiuk Det - SF	$0	$-	0%
No new player NotesGrant Williams Bos - SF,PF	$0	$-	0%
New Player NoteAustin Rivers NY - PG,SG	$0	$-	0%
No new player NotesKris Dunn Atl - PG,SG  INJ	$0	$-	0%
Player NoteRoyce O'Neale Uta - SF,PF	$0	$-	0%
No new player NotesDorian Finney-Smith Dal - SF,PF  7:00 pm @Den	$0	$-	0%
Player NoteNicolas Claxton Bkn - C  INJ4:30 pm vs Phi	$0	$-	0%
Player NoteMeyers Leonard Mia - PF,C	$0	$-	0%
No new player NotesFrank Jackson Det - PG	$0	$-	0%
Player NoteJuancho Hernangómez Min - PF,C  7:00 pm @Por	$0	$-	0%
New Player NoteJosh Okogie Min - SG,SF  INJ7:00 pm @Por	$0	$-	0%
Player NoteGorgui Dieng Mem - PF,C  5:00 pm vs Cle	$0	$-	0%
No new player NotesHarry Giles III Por - PF,C  7:00 pm vs Min	$0	$-	0%
No new player NotesGoga Bitadze Ind - C  INJ	$0	$-	0%
Player NoteTaurean Prince Bkn - SF,PF  4:30 pm vs Phi	$0	$-	0%
Player NoteWillie Cauley-Stein Dal - PF,C  7:00 pm @Den	$0	$-	0%
Player NoteKelly Olynyk Mia - PF,C	$0	$-	0%
No new player NotesIsh Smith Was - PG	$0	$-	0%
Player NoteTyus Jones Mem - PG  5:00 pm vs Cle	$0	$-	0%
Player NoteD.J. Augustin Mil - PG	$0	$-	0%
Player NoteAlex Len Tor - PF,C	$0	$-	0%
No new player NotesLandry Shamet Bkn - PG,SG  4:30 pm vs Phi	$0	$-	0%
Player NoteMonte Morris Den - PG,SG  7:00 pm vs Dal	$0	$-	0%
No new player NotesReggie Jackson LAC - PG,SG	$0	$-	0%
